Feinstaubmesssystem Messdaten ;;;;;;;;;;;;;;;;;;;;;;
PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
243;18;2;14.79;47.08;993.65;123.87;5.31;-6.19; nan; 13:48:47:0; 26:12:21;1;1;5.11;227.6;1157.6; 4900.84N; 821.80E;0.14;342.45;111.1;7
231;14;2;14.77;46.58;993.67;203.19;9.56;-13.88; nan; 13:48:54:0; 26:12:21;1;1;5.18;158.4;823.2; 4900.84N; 821.80E;0.11;161.3;111.1;7
0;0;0;14.72;45.98;993.51;8.94;66.06;4;432.96; 0:0:0:0; 0:0:0;0;0;5.13;174;892.8;;;;;;
0;0;0;14.66;45.53;993.53;14.19;63.94;1.25;603.55; 13:49:19:0; 26:12:21;1;1;5.02;231.32;1092; 4900.84N; 821.87E;8.92;99.02;109.3;7
255;18;1;14.64;45.58;993.52;0;0;0; nan; 13:49:35:0; 26:12:21;1;1;5.16;170.52;875.2; 4900.84N; 821.93E;8.75;101.98;106.3;7
253;18;1;14.6;45.7;993.49;3.19;68.62;0.88; nan; 13:49:42:0; 26:12:21;1;1;4.95;146.2;813.6; 4900.83N; 821.96E;9.28;96.8;106.3;7
230;15;1;14.6;45.47;993.47;358.44;68.31;-15.38; nan; 13:49:49:0; 26:12:21;1;1;5.07;197.92;1004; 4900.83N; 821.99E;9.16;95.31;108.3;7
225;13;0;14.52;45.24;993.49;359.5;69.25;-3.06; nan; 13:49:56:0; 26:12:21;1;1;4.88;240.32;1196.8; 4900.83N; 822.02E;8.83;92.19;109.3;7
225;13;0;14.46;45.26;993.48;358.06;68.19;3.06; nan; 13:50:3:0; 26:12:21;1;1;4.84;167.52;832; 4900.83N; 822.05E;9.97;96.92;109.5;7
222;12;0;14.45;45.24;993.47;0.06;69.37;0.44;567.73; 13:50:9:0; 26:12:21;1;1;4.75;138.72;661.6; 4900.83N; 822.07E;9.84;96.35;109.5;7
237;14;0;14.44;45.16;993.41;359.37;68.06;-5.25;554.62; 13:50:17:0; 26:12:21;1;1;5.16;180;944.8; 4900.82N; 822.10E;8.73;102.69;109.3;7
0;0;0;14.42;45.23;993.4;3.69;-1.19;11.5; nan; 13:50:23:0; 26:12:21;1;1;5.08;228.12;1154.4; 4900.82N; 822.13E;10.11;76.55;109.4;7
0;0;0;14.43;45.28;993.39;1.75;0.19;3.25; nan; 13:50:35:0; 26:12:21;1;1;5.13;162.8;860; 4900.82N; 822.17E;10.27;96.14;110.3;7
0;0;0;14.42;45.22;993.41;359.87;0.56;1.37; nan; 13:50:45:0; 26:12:21;1;1;5.17;148.2;781.6; 4900.81N; 822.22E;9.77;97.55;110.5;7
173;15;0;14.33;45.22;993.33;3.94;4.31;-1.87;0; 13:50:54:0; 26:12:21;1;1;5.12;171.6;911.2; 4900.81N; 822.26E;9.53;100.96;103.6;7
159;16;0;14.25;45.47;993.34;0;0;0; nan; 13:51:34:0; 26:12:21;1;1;5.18;171.32;882.4; 4900.80N; 822.43E;10.29;99.3;105.2;7
159;16;0;14.22;45.52;993.33;0.69;-0.62;-2.06; nan; 13:51:41:0; 26:12:21;1;1;5.15;167.32;925.6; 4900.79N; 822.46E;9.13;104.97;106.3;7
0;0;0;14.17;45.69;993.43;0;0;0; nan; 13:51:55:0; 26:12:21;1;1;5.15;182.72;934.4; 4900.80N; 822.49E;4.67;4.56;107.2;7
0;0;0;14.13;45.54;993.4;341.69;63;4; nan; 13:52:2:0; 26:12:21;1;1;4.81;236;1140; 4900.81N; 822.49E;1.47;1.12;107.1;7
169;9;0;14.09;45.51;993.39;32.63;52.94;-20.56; nan; 13:52:9:0; 26:12:21;1;1;5.07;194.6;984; 4900.81N; 822.49E;0.07;25.92;106.6;7
171;11;1;13.99;45.85;993.46;38.38;47.44;-24.63;467.31; 13:52:16:0; 26:12:21;1;1;5.15;170;925.6; 4900.81N; 822.49E;0.09;243.73;106.5;7
171;13;1;14.06;46.03;993.39;39.56;46.88;-25.81; nan; 13:52:23:0; 26:12:21;1;1;5.1;209.4;1072; 4900.81N; 822.49E;0.02;288.43;106.3;7
185;17;1;14.09;45.92;993.4;58.5;47.38;-25.25;443.6; 13:52:30:0; 26:12:21;1;1;5.14;154.72;796; 4900.81N; 822.49E;0.27;37.6;106.3;7
176;15;2;14.04;45.99;993.41;81.5;56.25;-0.5;424.63; 13:52:38:0; 26:12:21;1;1;5.13;186.92;954.4; 4900.81N; 822.49E;3.65;102.27;106.2;8
210;12;1;14.08;46.07;993.36;34.19;60.12;9.25; nan; 13:52:45:0; 26:12:21;1;1;4.96;166.92;837.6; 4900.81N; 822.51E;6.52;55.93;106.2;8
0;0;0;13.95;45.78;993.39;3;1.56;0.25;0; 13:52:59:69; 26:12:21;1;1;5.06;161;816.8; 4900.79N; 822.56E;11.66;108.28;105.9;4
221;21;2;13.87;45.93;993.39;1.81;60.25;-9.38; nan; 13:53:15:0; 26:12:21;1;1;5.07;241.92;1224; 4900.80N; 822.63E;10.27;97.51;105;8
227;7;0;13.88;45.99;993.41;359.25;1;0.81; nan; 13:53:27:0; 26:12:21;1;1;5.15;145.12;748.8; 4900.80N; 822.68E;10.44;96.69;105.3;8
227;7;0;13.85;46.16;993.38;358.19;0.62;0.69; nan; 13:53:34:0; 26:12:21;1;1;5.08;151.2;706.4; 4900.80N; 822.71E;10.95;92.8;106.1;8
0;0;0;13.82;46.36;993.35;355.12;1.25;-4.5;0; 13:53:50:0; 26:12:21;1;1;5.16;156;759.2; 4900.79N; 822.79E;9.6;100.62;103.1;8
0;0;0;13.81;46.24;993.33;355;65.81;-5.31; nan; 13:54:0:0; 26:12:21;1;1;4.83;251.12;1212.8; 4900.79N; 822.83E;10.96;97.41;105.2;8
166;11;0;13.82;46.25;993.36;1.37;0.88;-5;0; 13:54:6:711; 26:12:21;1;1;5.14;158.2;811.2; 4900.79N; 822.86E;10.73;113.7;110.9;6
0;0;0;13.7;46.51;993.33;0;0;0;0; 13:54:48:530; 26:12:21;0;0;4.92;172.92;849.6;;;;;;
0;0;0;13.68;46.42;993.36;5.31;67.62;1.69; nan; 13:54:58:46; 26:12:21;1;1;5.13;161.6;872.8; 4900.76N; 823.09E;10.27;97.81;105.1;5
0;0;0;13.65;46.47;993.36;352.87;65.87;-9.56;0; 13:55:6:80; 26:12:21;0;0;4.83;191.8;922.4;;;;;;
171;10;1;13.64;46.4;993.34;1.44;66.62;-14.69; nan; 13:55:21:0; 26:12:21;1;1;4.8;180.4;884.8; 4900.75N; 823.19E;10.37;98.13;101.5;8
152;13;1;13.64;46.55;993.36;357.25;66.62;-1.06; nan; 13:55:28:0; 26:12:21;1;1;4.93;149.72;736.8; 4900.75N; 823.22E;9.98;97.96;102.8;8
184;14;2;13.61;46.59;993.51;353.37;67.12;-6.37; nan; 13:55:35:0; 26:12:21;1;1;5.1;161.72;759.2; 4900.75N; 823.25E;4.98;93.2;104.2;8
193;9;2;13.62;46.79;993.49;261.19;59.19;26.44; nan; 13:55:42:0; 26:12:21;1;1;4.82;179.4;879.2; 4900.75N; 823.26E;4.52;10.83;104.8;8
219;12;2;13.54;46.72;993.5;267.06;59.94;-7.44; nan; 13:55:49:0; 26:12:21;1;1;5.1;198.4;998.4; 4900.75N; 823.27E;3.29;146.12;104.8;8
208;11;1;13.62;46.73;993.49;162;63.19;-5.44; nan; 13:55:56:0; 26:12:21;1;1;5.14;158.32;815.2; 4900.75N; 823.28E;8.27;76.92;104.8;8
192;7;0;13.62;46.75;993.46;163.56;62.81;17.12;374.7; 13:56:3:0; 26:12:21;1;1;4.86;152.8;748.8; 4900.75N; 823.31E;9.46;84.38;104.6;8
198;7;0;13.63;46.58;993.47;159.37;65.81;6.62;372.67; 13:56:10:0; 26:12:21;1;1;5.08;179.12;911.2; 4900.75N; 823.34E;9.99;84.75;104.5;8
0;0;0;13.4;46.98;993.52;0;0;0;0; 13:56:36:0; 26:12:21;1;1;4.86;211.52;1030.4; 4900.76N; 823.46E;10.9;74.18;103;8
0;0;0;13.32;47.1;993.42;0.69;66.81;2.94;0; 13:56:51:0; 26:12:21;1;1;5.14;168.52;860.8; 4900.77N; 823.53E;13.01;55.35;103.5;6
213;12;0;13.25;47.17;993.4;0;0;0; nan; 13:57:12:0; 26:12:21;1;1;5.16;146.6;752; 4900.78N; 823.63E;11.01;82.89;105.2;8
218;11;0;13.25;47.34;993.39;354.81;65.31;-4.12; nan; 13:57:19:0; 26:12:21;1;1;5.16;159.72;823.2; 4900.78N; 823.66E;10.51;80.2;105.2;8
